province_code,code,name,type
71,7108,Kabupaten Bolaang Mongondow Utara,kabupaten
71,7109,Kabupaten Kep. Siau Tagulandang Biaro,kabupaten
71,7110,Kabupaten Bolaang Mongondow Timur,kabupaten
71,7111,Kabupaten Bolaang Mongondow Selatan,kabupaten
71,7171,Kota Manado,kota
71,7172,Kota Bitung,kota
71,7173,Kota Tomohon,kota
71,7174,Kota Kotamobagu,kota
72,7201,Kabupaten Banggai,kabupaten
72,7202,Kabupaten Poso,kabupaten
72,7203,Kabupaten Donggala,kabupaten
72,7204,Kabupaten Toli-Toli,kabupaten
72,7205,Kabupaten Buol,kabupaten
72,7206,Kabupaten Morowali,kabupaten
72,7207,Kabupaten Banggai Kepulauan,kabupaten
72,7208,Kabupaten Parigi Moutong,kabupaten
72,7209,Kabupaten Tojo Una Una,kabupaten
72,7210,Kabupaten Sigi,kabupaten
72,7211,Kabupaten Banggai Laut,kabupaten
72,7212,Kabupaten Morowali Utara,kabupaten
72,7271,Kota Palu,kota
73,7301,Kabupaten Kepulauan Selayar,kabupaten
73,7302,Kabupaten Bulukumba,kabupaten
73,7303,Kabupaten Bantaeng,kabupaten
73,7304,Kabupaten Jeneponto,kabupaten
73,7305,Kabupaten Takalar,kabupaten
73,7306,Kabupaten Gowa,kabupaten
73,7307,Kabupaten Sinjai,kabupaten
73,7308,Kabupaten Bone,kabupaten
73,7309,Kabupaten Maros,kabupaten
73,7310,Kabupaten Pangkajene dan Kepulauan,kabupaten
73,7311,Kabupaten Barru,kabupaten
73,7312,Kabupaten Soppeng,kabupaten
73,7313,Kabupaten Wajo,kabupaten
73,7314,Kabupaten Sidenreng Rappang,kabupaten
73,7315,Kabupaten Pinrang,kabupaten
73,7316,Kabupaten Enrekang,kabupaten
73,7317,Kabupaten Luwu,kabupaten
73,7318,Kabupaten Tana Toraja,kabupaten
73,7322,Kabupaten Luwu Utara,kabupaten
73,7324,Kabupaten Luwu Timur,kabupaten
73,7326,Kabupaten Toraja Utara,kabupaten
73,7371,Kota Makassar,kota
73,7372,Kota Parepare,kota
73,7373,Kota Palopo,kota
74,7401,Kabupaten Kolaka,kabupaten
74,7402,Kabupaten Konawe,kabupaten
74,7403,Kabupaten Muna,kabupaten
74,7404,Kabupaten Buton,kabupaten
74,7405,Kabupaten Konawe Selatan,kabupaten
74,7406,Kabupaten Bombana,kabupaten
74,7407,Kabupaten Wakatobi,kabupaten
74,7408,Kabupaten Kolaka Utara,kabupaten
74,7409,Kabupaten Konawe Utara,kabupaten
74,7410,Kabupaten Buton Utara,kabupaten
74,7411,Kabupaten Kolaka Timur,kabupaten
74,7412,Kabupaten Konawe Kepulauan,kabupaten
74,7413,Kabupaten Muna Barat,kabupaten
74,7414,Kabupaten Buton Tengah,kabupaten
74,7415,Kabupaten Buton Selatan,kabupaten
74,7471,Kota Kendari,kota
74,7472,Kota Bau Bau,kota
75,7501,Kabupaten Gorontalo,kabupaten
75,7502,Kabupaten Boalemo,kabupaten
75,7503,Kabupaten Bone Bolango,kabupaten
75,7504,Kabupaten Pohuwato,kabupaten
75,7505,Kabupaten Gorontalo Utara,kabupaten
75,7571,Kota Gorontalo,kota
76,7601,Kabupaten Pasangkayu,kabupaten
76,7602,Kabupaten Mamuju,kabupaten
76,7603,Kabupaten Mamasa,kabupaten
76,7604,Kabupaten Polewali Mandar,kabupaten
76,7605,Kabupaten Majene,kabupaten
76,7606,Kabupaten Mamuju Tengah,kabupaten
81,8101,Kabupaten Maluku Tengah,kabupaten
81,8102,Kabupaten Maluku Tenggara,kabupaten
81,8103,Kabupaten Kepulauan Tanimbar,kabupaten
81,8104,Kabupaten Buru,kabupaten
81,8105,Kabupaten Seram Bagian Timur,kabupaten
81,8106,Kabupaten Seram Bagian Barat,kabupaten
81,8107,Kabupaten Kepulauan Aru,kabupaten
81,8108,Kabupaten Maluku Barat Daya,kabupaten
81,8109,Kabupaten Buru Selatan,kabupaten
81,8171,Kota Ambon,kota
81,8172,Kota Tual,kota
82,8201,Kabupaten Halmahera Barat,kabupaten
82,8202,Kabupaten Halmahera Tengah,kabupaten
82,8203,Kabupaten Halmahera Utara,kabupaten
82,8204,Kabupaten Halmahera Selatan,kabupaten
82,8205,Kabupaten Kepulauan Sula,kabupaten
82,8206,Kabupaten Halmahera Timur,kabupaten
82,8207,Kabupaten Pulau Morotai,kabupaten
82,8208,Kabupaten Pulau Taliabu,kabupaten
82,8271,Kota Ternate,kota
82,8272,Kota Tidore Kepulauan,kota
91,9103,Kabupaten Jayapura,kabupaten
91,9105,Kabupaten Kepulauan Yapen,kabupaten
91,9106,Kabupaten Biak Numfor,kabupaten
91,9110,Kabupaten Sarmi,kabupaten
91,9111,Kabupaten Keerom,kabupaten
91,9115,Kabupaten Waropen,kabupaten
91,9119,Kabupaten Supiori,kabupaten
91,9120,Kabupaten Mamberamo Raya,kabupaten
91,9171,Kota Jayapura,kota
92,9202,Kabupaten Manokwari,kabupaten
92,9203,Kabupaten Fak Fak,kabupaten
92,9206,Kabupaten Teluk Bintuni,kabupaten
92,9207,Kabupaten Teluk Wondama,kabupaten
92,9208,Kabupaten Kaimana,kabupaten
92,9211,Kabupaten Manokwari Selatan,kabupaten
92,9212,Kabupaten Pegunungan Arfak,kabupaten
93,9301,Kabupaten Merauke,kabupaten
93,9302,Kabupaten Boven Digoel,kabupaten
93,9303,Kabupaten Mappi,kabupaten
93,9304,Kabupaten Asmat,kabupaten
94,9401,Kabupaten Nabire,kabupaten
94,9402,Kabupaten Puncak Jaya,kabupaten
94,9403,Kabupaten Paniai,kabupaten
94,9404,Kabupaten Mimika,kabupaten
94,9405,Kabupaten Puncak,kabupaten
94,9406,Kabupaten Dogiyai,kabupaten
94,9407,Kabupaten Intan Jaya,kabupaten
94,9408,Kabupaten Deiyai,kabupaten
95,9501,Kabupaten Jayawijaya,kabupaten
95,9502,Kabupaten Pegunungan Bintang,kabupaten
95,9503,Kabupaten Yahukimo,kabupaten
95,9504,Kabupaten Tolikara,kabupaten
95,9505,Kabupaten Mamberamo Tengah,kabupaten
95,9506,Kabupaten Yalimo,kabupaten
95,9507,Kabupaten Lanny Jaya,kabupaten
95,9508,Kabupaten Nduga,kabupaten
96,9601,Kabupaten Sorong,kabupaten
96,9602,Kabupaten Sorong Selatan,kabupaten
96,9603,Kabupaten Raja Ampat,kabupaten
96,9604,Kabupaten Tambrauw,kabupaten
96,9605,Kabupaten Maybrat,kabupaten
96,9671,Kota Sorong,kota
